No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Scan List,Receive Group List,PTT Prohibit,Reverse,Simplex TDMA,Slot Suit,AES Digital Encryption,Digital Encryption,Call Confirmation,Talk Around(Simplex),Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation,Exclude channel from roaming,DMR MODE,DataACK Disable,R5toneBot,R5ToneEot
112,USA - Area 7,434,434,D-Digital,Low,12.5K,Off,Off,USA - Area 7,Group Call,31607,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
113,TAC-310 NO CALL,434,434,D-Digital,Low,12.5K,Off,Off,TAC 310 NO CALL,Group Call,310,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
114,USA Nationwide,434,434,D-Digital,Low,12.5K,Off,Off,USA Nationwide,Group Call,3100,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
115,North America,434,434,D-Digital,Low,12.5K,Off,Off,North America,Group Call,93,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
116,Worldwide,434,434,D-Digital,Low,12.5K,Off,Off,World-wide,Group Call,91,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
117,Europe,434,434,D-Digital,Low,12.5K,Off,Off,Europe,Group Call,92,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
118,Pacific Rim,434,434,D-Digital,Low,12.5K,Off,Off,Pacific Rim,Group Call,95,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
119,English,434,434,D-Digital,Low,12.5K,Off,Off,English,Group Call,913,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
120,Spanish,434,434,D-Digital,Low,12.5K,Off,Off,Spanish,Group Call,914,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
121,Canada Wide,434,434,D-Digital,Low,12.5K,Off,Off,Canada Wide,Group Call,302,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
122,UK Wide,434,434,D-Digital,Low,12.5K,Off,Off,UK Wide,Group Call,2350,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
123,Aus National,434,434,D-Digital,Low,12.5K,Off,Off,Aus National,Group Call,505,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
124,DMR Campfire,434,434,D-Digital,Low,12.5K,Off,Off,DMR Campfire,Group Call,31665,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
184,Open 1,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
185,Open 2,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
186,Open 3,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
187,Open 4,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
188,Open 5,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
189,Open 6,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
190,Open 7,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
196,HELP W CODE PLUG,434,434,D-Digital,Low,12.5K,Off,Off,HELP W CODE PLUG,Private Call,3177246,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
197,Radio Test,434,434,D-Digital,Low,12.5K,Off,Off,Radio Test,Group Call,98,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
